student_efficacy,student_joy,student_broad_interest,student_epistemic_beliefs,student_instrumental_motivation,student_value_cooperation,student_enjoy_cooperation,student_environmental_awareness,parent_views_science,parent_enviro_concern,teacher_directed,teacher_inquiry_based,teacher_choice_support,teacher_perceived_feedback,teacher_adaptation_of_instruction,science_minutes_week,out_of_schools_study_hours,overall_science_ach,explain_scientifically,do_inquiry,interpret_data,teacher_extra_help,teacher_interest_learning,teacher_tells_performance,teacher_strengths,teacher_areas_improve,teacher_how_improve,students_investigation,teacher_explains_relevance,students_design,teacher_explains_application,students_draw_conclusions,students_argue,students_laboratory,students_explain_ideas,teacher_waits_quiet,teacher_noise_disorder,students_dont_listen,work_team,student_career,student_job,nervous,be_best,want_top_grades,ambitious,worry_grades,good_listener,ict_home,ict_interest,ict_competence,ict_autonomy,ict_out_sch,ict_out_leisure,disciplinary_climate
0.3447,0.5852,-0.3171,0.4556,0.0125,0.5587,1.3264,-0.1358,NA,NA,0.9405,1.0979,0.9133,-0.4831,0.3728,225,26,526.254,558.617,612.795,629.062,1,1,2,1,2,2,2,1,3,1,2,2,2,1,4,3,3,3,2,3,4,4,4,4,3,4,NA,NA,NA,NA,NA,NA,0.8934
0.0086,-0.1704,-1.2668,-0.1933,-0.7778,-0.6887,0.9455,-1.0746,NA,NA,0.8729,0.0719,1.4475,-0.9479,0.3878,225,NA,545.2,595.049,620.875,584.524,1,1,3,1,1,1,3,1,4,1,3,4,3,1,2,1,1,2,3,3,3,4,3,4,1,4,NA,NA,NA,NA,NA,NA,-0.8472
-0.1972,0.5094,0.4805,-0.1933,-1.9301,-0.3735,-0.2882,0.2175,NA,NA,1.1091,0.4367,1.4475,2.4994,2.0469,225,6,423.455,500.351,478.096,507.219,1,1,4,4,4,4,2,2,3,2,2,3,2,2,3,3,2,3,4,4,3,4,4,4,2,3,NA,NA,NA,NA,NA,NA,-0.2683
1.5208,1.1662,0.324,0.7973,-1.9301,-1.039,0.9675,0.8274,NA,NA,0.7282,1.1216,1.4475,-0.1891,0.3728,225,9,598.998,580.261,580.271,614.295,1,1,1,1,1,2,1,3,3,1,1,2,1,1,3,3,3,2,4,4,4,4,4,3,3,3,NA,NA,NA,NA,NA,NA,0.5529
1.2061,1.1074,-0.8161,-0.1933,0.7429,-1.8451,-0.2882,0.7589,NA,NA,-0.0632,-0.376,0.4284,-1.5255,0.0214,300,8,660.424,689.562,725.409,669.303,1,2,1,1,1,1,3,4,4,2,2,4,3,2,3,3,4,1,2,1,3,4,4,4,4,3,NA,NA,NA,NA,NA,NA,0.8351
0.9691,0.125,-0.0908,-0.3241,-0.0575,0.5587,-0.2882,0.5739,NA,NA,-0.6541,0.3919,-1.0582,-1.0389,-0.3816,225,11,440.805,443.36,419.927,456.619,NA,2,1,2,1,1,4,2,2,2,2,3,2,4,NA,1,1,3,3,2,4,4,4,3,4,3,NA,NA,NA,NA,NA,NA,-1.8237
-0.1222,-1.1992,-0.6447,1.5073,-1.4849,-1.0965,-0.9705,0.3256,NA,NA,1.2171,0.5412,0.9133,1.0606,1.3472,225,25,534.869,533.669,557.245,546.203,1,1,3,3,3,3,2,1,4,1,2,4,2,NA,4,4,4,2,3,4,2,4,3,4,2,3,NA,NA,NA,NA,NA,NA,1.8837
0.7011,1.0323,0.3624,0.8603,0.7648,0.891,0.4252,0.4443,NA,NA,1.4501,0.8788,1.4475,1.2556,2.0469,225,37,599.485,657.444,667.376,691.688,1,1,3,3,3,3,2,1,3,1,1,2,2,2,3,2,3,3,2,2,2,3,3,2,3,3,NA,NA,NA,NA,NA,NA,-0.3506
2.3674,0.8225,-0.0034,0.7953,1.3336,1.4758,0.1885,0.7113,NA,NA,0.4505,0.0065,0.9133,2.4994,NA,225,11,532.856,494.723,500.569,497.445,1,1,4,4,4,4,4,3,4,2,2,3,2,2,3,3,3,3,1,1,2,4,4,4,2,2,NA,NA,NA,NA,NA,NA,0.0039
-1.0524,0.0992,-0.2052,-0.1933,-0.5375,0.0333,-0.2882,-1.8797,NA,NA,0.0532,-0.5776,0.2044,-0.8345,-0.787,225,NA,493.89,483.701,526.293,522.846,1,2,2,1,1,1,4,4,4,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,0.5529
-0.1034,0.5094,0.9214,-0.1933,-0.4468,0.0333,-0.2882,0.3256,NA,NA,0.1931,-0.9927,-0.1164,0.0134,0.0386,225,9,582.799,553.47,493.205,542.305,2,2,2,2,2,2,4,2,4,2,4,4,4,3,3,3,3,3,NA,3,4,4,4,3,4,3,NA,NA,NA,NA,NA,NA,0.0039
-0.244,-0.2121,-2.4981,-0.1933,0.3708,-0.8356,-0.2882,0.0336,NA,NA,0.4505,0.3432,-0.4527,-0.5356,0.0214,225,5,564.18,526.52,496.164,564.074,2,2,2,1,1,2,3,3,4,2,2,2,2,2,3,3,2,3,2,2,3,4,3,3,3,3,NA,NA,NA,NA,NA,NA,-0.2683
-0.5879,0.5094,0.8609,0.1946,1.7359,-0.9561,-0.3244,0.0194,NA,NA,0.4505,0.7005,0.0966,0.0134,0.6524,225,7,499.735,466.168,452.97,499.163,1,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,3,2,1,1,3,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,0.2829
